material_id,formula,nonmetal_element,formation_energy_per_atom,band_gap,density,total_magnetization,filename
mp-680570,Ti5P3,P,-1.191179145907737,0.0,4.696968852336254,6e-07,cif_files/ti_nonmetals/mp-680570_Ti5P3.cif
mp-1191079,Ti7P4,P,-1.199295311233766,0.0,4.664163674520122,0.002633,cif_files/ti_nonmetals/mp-1191079_Ti7P4.cif
mp-696572,TiP,P,-1.00746305232143,0.0,3.4626183943162863,0.0147917,cif_files/ti_nonmetals/mp-696572_TiP.cif
mp-739,TiP,P,-1.288060888571429,0.0,4.227605369285763,0.0,cif_files/ti_nonmetals/mp-739_TiP.cif
mp-20327,TiP2,P,-0.852471852539681,0.0,4.271221078465307,0.0,cif_files/ti_nonmetals/mp-20327_TiP2.cif
mp-980204,TiP3,P,-0.08851852449404801,0.0,4.013226051275454,0.0049938,cif_files/ti_nonmetals/mp-980204_TiP3.cif
mp-684731,Ti13S24,S,-1.6392080771171171,0.0,3.246731468609211,2.7e-06,cif_files/ti_nonmetals/mp-684731_Ti13S24.cif
mp-616559,Ti2S,S,-1.254497415555554,0.0,4.828433316784582,4e-07,cif_files/ti_nonmetals/mp-616559_Ti2S.cif
mp-1101099,Ti2S3,S,-1.706255212833332,0.0,3.6485782658284,0.0017821999999990002,cif_files/ti_nonmetals/mp-1101099_Ti2S3.cif
mp-1217192,Ti2S3,S,-1.680487956333333,0.0,3.654237267616948,1.4337438,cif_files/ti_nonmetals/mp-1217192_Ti2S3.cif
mp-1217073,Ti3S2,S,-1.141571572999999,0.0,4.178284977229527,0.000177,cif_files/ti_nonmetals/mp-1217073_Ti3S2.cif
mp-1101100,Ti3S4,S,0.847747754285715,0.2669,0.5101071318475341,0.00046649999999900005,cif_files/ti_nonmetals/mp-1101100_Ti3S4.cif
mp-1217101,Ti3S4,S,-1.607071132857142,0.0,3.7197294571825372,0.0025555,cif_files/ti_nonmetals/mp-1217101_Ti3S4.cif
mp-1217121,Ti3S4,S,-1.487872079999999,0.0,3.717000761259412,0.0010027,cif_files/ti_nonmetals/mp-1217121_Ti3S4.cif
mp-1208223,Ti5S8,S,-1.696053202820513,0.0,3.490073400204189,0.0005145,cif_files/ti_nonmetals/mp-1208223_Ti5S8.cif
mp-1217163,Ti5S8,S,-1.6588118735897441,0.0,3.397065052582594,2.3448229,cif_files/ti_nonmetals/mp-1217163_Ti5S8.cif
