material_id,formula,metal_element,formation_energy_per_atom,band_gap,density,total_magnetization,filename
mp-30599,Ti2Cu3,Cu,-0.089345638666665,0.0,6.971094256707761,1.1873953,cif_files/ti_metals/mp-30599_Ti2Cu3.cif
mp-622570,Ti2Cu3,Cu,-0.127568277666665,0.0,7.01682967702633,0.8636111,cif_files/ti_metals/mp-622570_Ti2Cu3.cif
mp-11365,Ti3Cu,Cu,0.024269343333333002,0.0,5.50544461084138,0.8584379,cif_files/ti_metals/mp-11365_Ti3Cu.cif
mp-2643,Ti3Cu4,Cu,-0.13434752285714002,0.0,6.878857245886687,0.511813,cif_files/ti_metals/mp-2643_Ti3Cu4.cif
mp-1208489,Ti5Cu2,Cu,0.09707169321428501,0.0,5.386232964224853,1.0139496,cif_files/ti_metals/mp-1208489_Ti5Cu2.cif
mp-11364,TiCu,Cu,-0.055840630833332,0.0,6.349504154176052,0.9171828,cif_files/ti_metals/mp-11364_TiCu.cif
mp-2078,TiCu,Cu,-0.138510230833333,0.0,6.553558170638885,1e-07,cif_files/ti_metals/mp-2078_TiCu.cif
mp-1077023,TiCu2,Cu,-0.11994215388888801,0.0,7.391929109501161,0.992925,cif_files/ti_metals/mp-1077023_TiCu2.cif
mp-12546,TiCu3,Cu,-0.09277989916666601,0.0,7.862372846596318,4e-07,cif_files/ti_metals/mp-12546_TiCu3.cif
mp-1188441,TiCu4,Cu,-0.08592577333333301,0.0,8.134100168275264,0.0001013,cif_files/ti_metals/mp-1188441_TiCu4.cif
mp-979115,Ti2Ag,Ag,-0.04510925277777501,0.0,6.592237273060735,0.0,cif_files/ti_metals/mp-979115_Ti2Ag.cif
mp-621131,Ti3Ag,Ag,0.11080614458333501,0.0,6.064032077326992,0.966731599999999,cif_files/ti_metals/mp-621131_Ti3Ag.cif
mp-1017985,TiAg,Ag,-0.054529908333332,0.0,7.5421283910794585,4e-07,cif_files/ti_metals/mp-1017985_TiAg.cif
mp-1961,TiAg,Ag,0.10795178166666701,0.0,7.42825412166098,0.9089819,cif_files/ti_metals/mp-1961_TiAg.cif
mp-11260,Ti3Au,Au,-0.2628507525,0.0,8.354151399886444,0.002918499999999,cif_files/ti_metals/mp-11260_Ti3Au.cif
mp-1786,Ti3Au,Au,-0.386483803749999,0.0,8.597093951987127,1.4e-06,cif_files/ti_metals/mp-1786_Ti3Au.cif
mp-11259,TiAu,Au,-0.36749317083333105,0.0,11.532356578173063,0.9841511,cif_files/ti_metals/mp-11259_TiAu.cif
mp-1217014,TiAu,Au,-0.196494080833332,0.0,11.557839051434994,0.8790606,cif_files/ti_metals/mp-1217014_TiAu.cif
mp-998972,TiAu,Au,-0.47590774083333104,0.0,12.071032950993597,1e-07,cif_files/ti_metals/mp-998972_TiAu.cif
mp-998985,TiAu,Au,-0.47585178333333605,0.0,12.050321552455229,2.3123141,cif_files/ti_metals/mp-998985_TiAu.cif
mp-1018123,TiAu2,Au,-0.48334265888888606,0.0,14.476013832700799,0.5088053,cif_files/ti_metals/mp-1018123_TiAu2.cif
mp-1172831,TiAu2,Au,1.605538301111115,0.261,2.1763420835076372,1.9996718,cif_files/ti_metals/mp-1172831_TiAu2.cif
mp-1187512,TiAu3,Au,-0.31275068166666303,0.0,15.566781002463317,0.7211179,cif_files/ti_metals/mp-1187512_TiAu3.cif
mp-12635,TiAu4,Au,-0.311209871333329,0.0,16.323493271890175,0.1848854,cif_files/ti_metals/mp-12635_TiAu4.cif
mp-1238909,Ti13Pt42,Pt,0.0007974845489190001,0.0,9.565710021807512,1.2929347,cif_files/ti_metals/mp-1238909_Ti13Pt42.cif
mp-2339,Ti3Pt,Pt,-0.684364118749999,0.0,8.860717410627826,3.55e-05,cif_files/ti_metals/mp-2339_Ti3Pt.cif
mp-30851,Ti3Pt5,Pt,-1.026515769999996,0.0,15.072902173445792,5e-07,cif_files/ti_metals/mp-30851_Ti3Pt5.cif
mp-11552,TiPt,Pt,-0.868008845833337,0.0,12.553684487411036,0.0001773,cif_files/ti_metals/mp-11552_TiPt.cif
